# ε=64
# n=1000000
data_index,key,slope,intercept
0,0,5.3539033570571032e-11,-19.963761401779445
48314,901576114997117,5.3702262939412987e-11,48316.426631254024
66118,1234318122469014,5.3627275680604045e-11,66082.559888398786
119354,2228914029065499,5.3569847049331958e-11,119362.195671147
189310,3535886707300515,5.3792063301409142e-11,189330.01298550631
233977,4367084742529425,5.3420910134190222e-11,233970.73582104127
277715,5184730454556639,5.36353142836572e-11,277739.30390904011
347426,6485256809675861,5.3762749515240524e-11,347380.33747633392
372099,6943827483726873,5.3720360925674972e-11,372143.35873975165
405850,7572563714702057,5.3671245586970243e-11,405882.65137452533
480070,8956039422220358,5.3467182252914114e-11,480061.68775167726
523601,9769150521899430,5.3470115839014529e-11,523557.25510637359
563049,10506521846372178,5.3708039102043595e-11,563039.29103870776
646707,12063142490955400,5.3660885122991493e-11,646707.57391444253
703605,13122249733410536,5.3728385122814723e-11,703578.36047131414
746300,13918591261605072,5.3698950847155116e-11,746266.29715044565
792940,14786561114411466,5.3744383054857426e-11,792912.82089256375
838968,15642296271938556,5.3742340869799203e-11,838965.01453330224
881441,16433887309645360,5.3658119856857489e-11,881503.36927946287
904598,16865532801238078,5.350704129933355e-11,904567.03295849889
949853,17710676093361432,5.3604778302990575e-11,949831.44538663188
971464,18115490152719856,5.3204579289416866e-11,971483.01396246256
