# ε=64
# n=1000000
data_index,key,slope,intercept
0,70377603,1.7200872382464471e-11,-42.181611883692642
227,11892952007622,2.6151306398232792e-11,237.28973136348435
569,22109434647966,1.1921328405257617e-11,570.27258702067052
1141,64560447294791,6.9182834064354985e-11,1197.7909171061186
1359,68112347863512,1.1536665741015386e-10,1295.7331021499984
1534,69615262766965,3.5475450776648456e-09,1476.7867859526303
1695,69658497155603,2.1087672215201774e-11,1683.3815605398346
2148,88617607876997,1.5897760153927183e-11,2191.668698392582
2564,107950021240481,1.1033841053355589e-11,2627.6518147639929
2864,123505761262555,1.6611960744785107e-10,2806.9047695576002
3171,125309003543317,4.6249815033045161e-10,3232.7695843438387
3479,126008646050896,1.2531009534672203e-11,3434.767535468873
3952,162129736777812,7.3800794251728621e-10,3916.898469795694
4176,162393305108681,2.7898453269445005e-11,4228.9222842160661
4676,181099665656799,1.7391575561745781e-11,4612.5339562154673
4955,197075531178569,3.3966599927465805e-11,5018.7196020103481
5175,203622709953949,1.2197143968546312e-11,5238.925342174413
5807,255771939945416,2.3159090812115081e-11,5743.1602005832188
6172,271486978595865,6.5151346414200854e-12,6235.948882935791
6662,347091748635640,1.5030877450595715e-11,6600.3839385478586
6943,365578286423901,2.5097062762471411e-11,7005.6144550835458
7167,374688263528478,1.0174446780162328e-11,7146.7602879766867
7852,437635966054276,2.8981122942950561e-10,7894.8086854251094
8163,439025752523337,2.7841407946486103e-11,8127.9703950869358
8536,451360918729976,1.7746238164737368e-10,8477.7253393664227
8788,452744429786313,2.1521434363638222e-10,8742.0765793306156
9347,455255424878806,3.1235614285965997e-11,9408.7333046769612
10319,482321228266228,1.7550811715151732e-11,10304.681245247246
10569,493701840120741,9.5670258604642169e-10,10519.193195779501
10780,493906929744673,3.720597739074269e-11,10780.338634086982
11192,506936442004412,3.2278313328284434e-11,11128.478630791208
11452,514949805309763,1.9680358468950125e-11,11514.169468757306
11992,542497693864329,4.9025157871121815e-11,11928.270796311812
12167,546042163099036,1.1276749214139758e-09,12223.936571249511
12551,546436332105770,1.4661785089488592e-11,12505.509741753448
13004,576028513938578,4.6480598996470276e-11,13017.709913546345
13500,585014438733134,9.7958685957436823e-12,13494.859364978173
13873,617012091597062,5.2021136829842798e-10,13933.558041730737
14178,617626609459937,3.8903479756062303e-12,14195.790473210716
14535,688191173864766,4.2737168757407235e-10,14477.989504353195
14750,688675614775126,1.0886118255850708e-09,14710.72506624568
15032,688911448586139,5.5082451696458938e-10,15086.867778629127
15300,689487963784373,3.5571937237640055e-11,15238.756899722807
15764,702436936399100,4.6742676961961698e-11,15825.213282559087
16032,708863265909834,5.857388674154891e-12,15980.272370797783
16295,751548737073432,4.1457610892750301e-10,16243.565910423929
16489,751984697483075,1.1372445063160973e-10,16532.865901483101
16961,755178262083044,2.2400254270573138e-10,16988.259580936871
17208,757066128177028,1.324489084768997e-11,17144.026219021981
17651,790440916296077,1.2253402884800351e-11,17713.438562968732
17965,816402862456807,1.2460190937475352e-11,17902.567046609786
18234,837815506340971,7.3129353307197776e-11,18289.434549113771
18473,842240497557031,3.1986268792849928e-11,18410.505622594758
18786,851958315105474,1.8362123189521001e-09,18722.052561531657
19068,852111339702132,2.8154879336391245e-11,19129.298269549107
19411,864788508127219,1.3649071600669028e-11,19451.79906330477
19751,893545259030663,2.6490373346910431e-11,19689.20815753136
19915,899619541625766,2.3981635439474686e-10,19978.938769579928
20207,900843259855686,1.0913742833066376e-11,20269.310787461454
20497,930090490011971,1.225517172647865e-11,20434.595869825248
20903,963036418674344,2.7542465103552005e-11,20964.268988755393
21156,976207733594040,5.586181384983054e-12,21093.228327569818
21356,1011675296108072,1.1930947432724226e-11,21336.530768056858
21610,1029159054918348,3.2919507066249505e-10,21671.784304099752
21917,1030128318732630,4.410015512822744e-11,21963.166958461833
22264,1038550724391208,3.3186629926158551e-11,22217.160205604412
22800,1054159295446481,7.247002169737227e-11,22863.959448922098
23077,1058353539571938,3.5612168512505684e-11,23119.030725658321
23473,1070359503820149,3.0022293164264303e-12,23463.693363323893
23778,1153508091995405,3.4407436462623747e-11,23715.971876825078
23996,1159763213373688,8.2475760492787218e-11,24057.774169885456
24296,1163565790454385,1.5881384104604778e-11,24290.103512326954
24560,1176487477141040,1.0235328987623133e-10,24620.859936502938
24908,1180062249915186,3.3092948033319789e-11,24845.887233063697
25201,1188836273180376,3.5826729509175492e-11,25166.504699004082
25638,1200194935634847,8.2982744426236347e-11,25608.805734167592
25966,1203718795050633,1.9806016778533047e-11,25959.852485932917
26312,1218233453981680,2.3198661062610292e-10,26375.126910825177
26547,1219489690748698,5.2881271290710597e-12,26583.295109791031
26923,1271450153225104,3.7498545548781071e-11,26865.423502594169
