# ε=64
# n=1000000
data_index,key,slope,intercept
0,35207349327993289,1.8026617487094624e-14,-51.851005661849757
140,42262322911383147,2.6044460593907162e-11,109.78051189175858
487,42274320925519281,3.5036730987880978e-10,547.85971678685922
1037,42275906848016089,5.9958663881483899e-11,983.19043419374935
1217,42278729250620231,7.6968531317819915e-11,1234.4777743856396
1477,42285439947654605,7.9678436534388886e-12,1413.9215390278618
1716,42315194705411339,6.8718136090693817e-13,1774.6287066959687
1968,42502655040460647,9.3896827234946862e-11,2029.6271729584442
2235,42505883559815745,1.7032696831412069e-10,2171.8439599626638
2577,42507883446450887,3.5875525454923959e-10,2629.8030696840344
2979,42509204492973383,6.3182388041072118e-11,2915.4915217753187
3357,42515167097273833,7.7972453321193924e-11,3306.4517469948204
3751,42520035739424589,7.5153961240303781e-11,3778.4576701977995
4206,42527471978689487,6.9826943315402956e-11,4155.4424567878355
4453,42530809103812125,1.5655616957943369e-10,4409.411048225166
4821,42534281659420425,2.1291753338922144e-12,4797.4676920201296
5015,42605968477937259,1.0495857592665273e-10,5076.5198093330172
5446,42610190367230265,4.528525587728048e-11,5385.1441182193252
5733,42616442930695251,2.2210817146813732e-10,5674.2364936961763
6363,42620168645088115,7.053927509070417e-11,6370.4897276751186
6800,42627191767422591,3.4614584706240711e-11,6742.0665258123544
7369,42643437482856939,1.4648941745811667e-10,7423.0451674453324
7788,42646584296220427,1.4016686151037312e-10,7724.1950907477304
8119,42648939202808365,4.9979680419728948e-10,8157.3517810819423
8631,42650196388806029,9.8981430341117029e-11,8613.7291230651239
8967,42653108871549007,4.3047928508474007e-10,9018.521886751549
10138,42655922563353867,1.2363679893253652e-10,10125.013107022026
10580,42659076939187571,4.2559461780408412e-10,10527.521685112813
11411,42661321724454817,1.1370208165202221e-10,11349.293529528843
11657,42663459870783409,3.496001184542527e-11,11608.334770277287
12243,42679764055123355,3.1980971952417765e-11,12186.907916189217
12489,42687193162225865,1.2839628686040733e-10,12486.953333111922
12885,42691698240949969,5.9821958268857416e-11,12824.593255194807
13076,42694817155017961,7.1054278062636137e-11,13070.157331488288
13596,42701308190144205,5.0405650520743617e-11,13651.105430281431
14324,42716388173634269,6.1720606493807552e-11,14385.724553527807
14789,42724017746516537,4.5283574581065789e-11,14734.727398406086
15192,42732688557673503,4.1217403153261865e-11,15247.920384562399
15568,42738891679815137,9.2377079554793675e-11,15561.285195087961
15925,42742131564407205,2.946224536454276e-10,15930.416527277844
16740,42745130363644621,1.6683889948892145e-10,16802.432153040123
17203,42748002833938851,2.37738980774237e-11,17147.738439495475
17750,42770611616129805,8.4601638385735568e-11,17738.1861720328
18099,42775749580667469,2.3102567296253982e-11,18094.927302982866
18564,42793262158049901,2.4805907976708885e-11,18608.828618209287
19335,42819935349752057,8.0623161306561416e-11,19341.47889860211
19844,42825370688099931,1.9795048561422585e-10,19902.998366300357
20237,42827443306613773,1.0603861730567353e-10,20289.510931658052
20623,42831257226086139,4.2606225052298903e-10,20561.156926031591
20991,42832114703999835,3.3344928634415259e-10,20974.643166778504
21582,42834196009897483,9.6832203428064114e-11,21555.838996168997
22159,42839760650558441,1.4556547943068901e-10,22095.993025676628
22547,42842417025700681,1.3649660160443271e-10,22520.678901368658
23004,42846914656985283,1.0727428479623646e-10,23030.679258413871
23448,42851737558741189,2.1377047072052019e-11,23386.088580238079
23755,42865976544651397,2.0129272310312175e-10,23801.185272957078
24409,42868674428875027,4.0685104073013716e-11,24471.284462487485
24648,42874849391845271,2.2299672146868753e-11,24585.654021593875
25322,42904960885718677,2.5446094663052886e-11,25268.202880567103
25975,42930201455596731,3.2219080333847846e-11,25931.36239136832
26309,42939906437145657,2.8680430027846314e-11,26331.636190668062
26815,42954496165095101,5.9151381474594167e-10,26845.741211522614
27544,42955789655165719,5.5253174071108334e-10,27502.60249087947
28038,42956642295084025,1.4972373159370932e-10,28088.355671570126
28519,42960107047479969,7.4852516506070544e-12,28467.747226261108
29213,43051006170367549,6.585443960105277e-11,29228.348354799798
29590,43059626212027721,2.8504680966850793e-11,29533.439613424782
29965,43072502127112659,2.3184059570946808e-10,29902.800474357143
30450,43074584036658507,7.1027862564893185e-10,30499.387693265842
30896,43075280892558487,4.4037582616504433e-10,30869.845834212264
31479,43076517077351185,3.3436885900021706e-10,31508.198818573907
32968,43080689629109961,6.6633348185831028e-11,32942.922564236499
33703,43093186122572405,1.5697316845596853e-11,33644.607539801837
34119,43119278662440797,3.3344053317030402e-11,34123.041448850511
34710,43134944902478165,2.0144107214517734e-10,34720.156585228618
35217,43138295712846339,1.0722518088340159e-10,35215.540196393906
35929,43145640497846539,1.100308411636471e-10,35870.630737609348
36310,43149043639161335,1.0570446629365828e-10,36285.616492712355
36850,43153772894107711,4.3803587628811088e-11,36801.122094700274
37248,43162494909239101,2.2102510000011445e-10,37286.277689893146
