dataset,err medio iniziale,loss,optimizer,lr,batch size,epochs,err medio finale,errore massimo
datipisa/segments_wiki_ts_1M_uint64.csv,29.3574978105292,mean_absolute_error,Adam,0.0001,250,50,193987.97410317685,962775.8531988759
datipisa/segments_books_1M_uint64.csv,21.30492316290337,mean_absolute_error,Nadam,1e-14,100,50,105976.4823293699,865932.7455376383
datipisa/segments_books_1M_uint64.csv,21.30492316290337,mean_absolute_error,Nadam,1e-14,400,50,137540.86169482954,729956.8576775279
datipisa/segments_books_1M_uint64.csv,21.30492316290337,mean_absolute_error,Nadam,1e-15,400,50,295177.77008632536,883337.1722487898
datipisa/segments_books_1M_uint64.csv,21.30492316290337,mean_absolute_error,Nadam,9.999999999999999e-16,400,500,124472.13663035027,735755.6783596114
datipisa/segments_wiki_ts_1M_uint64.csv,29.3574978105292,mean_absolute_error,Adam,1e-05,100,1000,233431.6701682842,998696.5190021348
datipisa/segments_wiki_ts_1M_uint64.csv,29.3574978105292,mean_absolute_error,Nadam,0.01,100,10,206448.07508971047,998549.2473408529
datipisa/segments_wiki_ts_1M_uint64.csv,29.3574978105292,mean_absolute_error,Nadam,1e-05,100,3,496477.91869431076,998731.5513132808
datipisa/segments_wiki_ts_1M_uint64.csv,29.3574978105292,mean_absolute_error,Nadam,1e-05,50,3,495093.2824865045,998727.9243009113
datipisa/segments_wiki_ts_1M_uint64.csv,29.3574978105292,mean_absolute_error,Nadam,0.01,200,10000,163225.84559683743,918842.3764062208
datipisa/segments_wiki_ts_1M_uint64.csv,29.3574978105292,mean_absolute_error,Nadam,0.01,100,10000,147261.12544062926,900017.7247154096
datipisa/segments_wiki_ts_1M_uint64.csv,29.3574978105292,mean_absolute_error,Nadam,0.05,100,10000,18106.818466079425,754673.1789490784
datipisa/segments_wiki_ts_1M_uint64.csv,29.3574978105292,mean_absolute_error,Nadam,0.05,200,10000,46577.210068689405,769313.9307857556
datipisa/segments_wiki_ts_1M_uint64.csv,29.3574978105292,mean_absolute_error,Nadam,0.01,50,10000,125887.28732191412,878892.4743858299
datipisa/segments_wiki_ts_1M_uint64.csv,29.3574978105292,mean_absolute_error,Nadam,0.05,50,10000,6238.56017174922,736141.1867422636
datipisa/segments_wiki_ts_1M_uint64.csv,29.3574978105292,mean_absolute_error,Nadam,0.1,200,10000,6148.968764793157,733182.6839027589
datipisa/segments_wiki_ts_1M_uint64.csv,29.3574978105292,mean_absolute_error,Nadam,0.1,100,10000,6309.256126402618,706640.6352984528
datipisa/segments_wiki_ts_1M_uint64.csv,29.3574978105292,mean_absolute_error,Nadam,0.1,50,10000,9422.0876185448,1063452.2668794869
datipisa/segments_wiki_ts_1M_uint64.csv,29.357497810529196,mean_absolute_error,Nadam,0.1,200,20000,4092.6489759764786,659799.6062967341
